Price,Adj Close,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,,
2023-07-18,68945.2734375,72000.0,73500.0,72000.0,73200.0,11697900
2023-07-19,68658.0234375,71700.0,72800.0,71300.0,72700.0,10896412
2023-07-20,67987.7109375,71000.0,71500.0,70800.0,71100.0,9732730
2023-07-21,67317.3984375,70300.0,70400.0,69400.0,70400.0,16528926
2023-07-24,67413.1640625,70400.0,70900.0,69900.0,70100.0,13418597
2023-07-25,67030.125,70000.0,70500.0,69800.0,70000.0,14314945
2023-07-26,66838.6171875,69800.0,70600.0,68100.0,69800.0,30016221
2023-07-27,68658.0234375,71700.0,71700.0,69300.0,69900.0,24261179
2023-07-28,67604.671875,70600.0,72400.0,70100.0,71800.0,19420683
2023-07-31,66838.6171875,69800.0,71000.0,69800.0,70900.0,13035420
2023-08-01,68083.4609375,71100.0,71200.0,70000.0,70100.0,12299254
2023-08-02,66934.3828125,69900.0,71000.0,69800.0,70700.0,13835020
2023-08-03,65881.0546875,68800.0,70200.0,68500.0,69900.0,20087090
2023-08-04,65402.265625,68300.0,69100.0,68200.0,68800.0,12360193
2023-08-07,65593.765625,68500.0,69200.0,67600.0,67700.0,10968505
2023-08-08,64731.95703125,67600.0,69100.0,67400.0,69000.0,14664709
2023-08-09,65976.8046875,68900.0,69600.0,67900.0,68000.0,17259673
2023-08-10,65114.99609375,68000.0,68500.0,67800.0,68300.0,10227311
2023-08-11,64636.19140625,67500.0,68800.0,67500.0,68400.0,9781038
2023-08-14,64444.6875,67300.0,67900.0,66900.0,67500.0,9352343
2023-08-16,64157.41796875,67000.0,67100.0,66300.0,66700.0,13174578
2023-08-17,63870.140625,66700.0,66800.0,66000.0,66300.0,10778652
2023-08-18,63487.1171875,66300.0,66700.0,65800.0,66000.0,11745006
2023-08-21,63774.3828125,66600.0,67100.0,66300.0,66600.0,9720067
2023-08-22,63774.3828125,66600.0,67700.0,66300.0,67200.0,10500242
2023-08-23,64253.171875,67100.0,67100.0,66400.0,66700.0,9549352
2023-08-24,65306.5,68200.0,68700.0,67900.0,68300.0,15044463
2023-08-25,64253.171875,67100.0,67400.0,66900.0,67100.0,7032462
